"locus_tag","logFC","logCPM","LR","PValue","q.value"
"BW25113_4078",-0.0219686979856133,7.91670412145803,0.0134518899309413,0.907666583275823,0.978427991782899
"BW25113_4079",-0.118674846025011,9.20147603449236,0.40096135903638,0.526593188283036,0.873878890444045
"BW25113_4080",0.00242372418222166,8.90832755096346,0.000192105064060755,0.988941516778665,0.996848538930859
"BW25113_4081",-0.0707929245471414,9.12389673159496,0.173026788791676,0.677435695878893,0.923009162275809
"BW25113_4082",-0.204163280196712,8.67368263187745,1.26910347490726,0.259934934780549,0.696170929413655
"BW25113_4622",-0.128793932043986,7.06878122785225,0.397897965744102,0.528176836333375,0.875420367988911
"BW25113_4083",0.0530017033212335,9.89102841534695,0.095782399641954,0.756950858181299,0.947502580582243
"BW25113_4084",-0.0174622898642948,8.72736515742553,0.00875338916208912,0.925459044032436,0.981437442768726
"BW25113_4085",-0.00333328065554692,7.9198748249548,0.00033816467882275,0.985328324710157,0.995937312657355
"BW25113_4086",-0.184921635722009,8.19065676391519,0.906155721235795,0.341136480737694,0.77156550226368
"BW25113_4087",0.0199401491265383,9.34711728509689,0.0131656764049026,0.90864979582439,0.978427991782899
"BW25113_4088",-0.024777784970343,9.13444925088171,0.0190966068572984,0.890089884219459,0.975291338295849
"BW25113_4089",0.149598787214161,9.77702917399235,0.711758321426117,0.398860709090401,0.810327993426936
"BW25113_4090",-0.0635657721335483,7.34134729713159,0.115735992178143,0.733705971111176,0.942573100791809
"BW25113_4487",-0.0805885694759438,7.28462144938251,0.147301615130822,0.701127484599898,0.929910278044034
"BW25113_4092",0.00960340356391078,8.24582155164771,0.00205162980232032,0.963872236321583,0.99125099208252
"BW25113_4093",-0.436695897841185,6.36175274399517,3.57449290408873,0.0586733602656231,0.336325438139748
"BW25113_4094",-0.3742036536024,7.26611581786776,3.22881411026269,0.072353065129267,0.375917285276541
"BW25113_4095",0.02909243475267,8.31273083076728,0.0185989993253095,0.891522347424641,0.975291338295849
"BW25113_4096",-0.523408875753541,7.08047954648302,7.00013802080332,0.00815034316223705,0.0954390244316526
"BW25113_4097",-0.226829532410076,7.80010890327122,1.4268713694521,0.232275712009307,0.656559465024192
"BW25113_4098",-0.118640243698193,7.84969269314661,0.408149904670264,0.522910037406816,0.872903125796349
"BW25113_4099",0.000846572067857017,7.97405921110151,1.75225969130111e-05,0.996660064895525,0.998654808964167
"BW25113_4100",-0.0716973638258541,6.9775249873206,0.137026013469562,0.711255642210861,0.933063533598786
"BW25113_4101",0.0350161358896089,6.94353359940657,0.0317110382314176,0.858663341911777,0.971214133986996
"BW25113_4102",-0.207815286049378,7.71404916933029,1.20349202771279,0.272624849908127,0.711449754704942
"BW25113_4104",-0.212076184993304,7.39632339788348,1.23616042098654,0.266212319493624,0.702559300184886
"BW25113_4105",-0.197560474133522,7.63522524600961,1.07099833809803,0.300720053735191,0.741813121483304
"BW25113_4106",-0.293103249103906,7.66803659054692,2.4419219699696,0.118131405757017,0.496671979550727
"BW25113_4107",-0.339855291925153,7.22353930856148,3.16358110699122,0.0752978399176901,0.385721118658818
"BW25113_4108",-0.150295381795491,8.35234840122362,0.686125765879836,0.40748528576461,0.816401574138282
"BW25113_4109",0.0120556072183914,9.99680965650167,0.00468032475204772,0.945456953956635,0.988551517520516
"BW25113_4110",0.0394316391924181,7.76671495865603,0.0475727326922362,0.827342047611691,0.961905643458907
"BW25113_4111",-0.00519045771482232,9.47569549651921,0.000769694203370364,0.977866838144007,0.995393333002946
"BW25113_4703",0.32452018526334,5.02743664942512,1.64565301782568,0.199551612749177,0.62191260197121
